ID,R2,Pvalue,Padjust,Group
recruitment site,0.0580002053720775,0.001,0.00325,Demography
disease status,0.0137543868012195,0.001,0.00325,Disease
treatment status,0.0112280294339284,0.001,0.00325,Disease
education,0.00901646053834303,0.004,0.00945454545454546,Demography
smoke,0.00844886156655548,0.001,0.00325,Life style
sex,0.00844142620922562,0.001,0.00325,Demography
over the counter meds,0.00748438080775269,0.001,0.00325,Medication
rxmeds,0.00714228179530758,0.003,0.0078,Medication
body mass index,0.00692843448024731,0.001,0.00325,Physiology
allergies,0.00529660916107982,0.001,0.00325,Disease
age,0.00504442079774578,0.002,0.00577777777777778,Demography
probiotics,0.00327278175972516,0.012,0.024,Medication
breastfeeding,0.00317706375156054,0.017,0.0315714285714286,Physiology
depression,0.00310135738401216,0.011,0.0238333333333333,Disease
anxiety,0.00274335132026142,0.021,0.0364,Disease
manic depression bipolar,0.00258926879122942,0.03,0.04875,Disease
recreational drug,0.00211044060988182,0.06,0.0917647058823529,Medication
Obsessive/compulsive disorder,0.00187762545017642,0.065,0.0938888888888889,Disease
pets,0.00181266404218258,0.088,0.120421052631579,Life style
asthma,0.0016076050006699,0.134,0.1742,Disease
eating disorder,0.00106615758697796,0.333,0.412285714285714,Disease
type 2 diabetes,0.000864384192866112,0.487,0.575545454545455,Disease
birth method,0.000819492241983275,0.633,0.68575,Physiology
oral contraceptives ,0.00074947434520227,0.599,0.677130434782609,Medication
postpartum depression,0.000578673086602719,0.76,0.7904,Disease
eczema,0.000357137522319274,0.959,0.959,Disease
