iMSMS_ID,Chroococcales,Planctomycetales,Oscillatoriales,Nostocales,Deinococcales,Legionellales,Hydrogenophilales,Methanomassiliicoccales,Orbales,Chromatiales,Xanthomonadales,Cardiobacteriales,Methylococcales,Oceanospirillales,Alteromonadales,Vibrionales,Aeromonadales,Pasteurellales,Spirochaetales,Bacillales,Brachyspirales,Eggerthellales,Cellvibrionales,Bacteroidales,Tissierellales,Acidaminococcales,Veillonellales,Entomoplasmatales,Acholeplasmatales,Clostridiales,Lactobacillales,Synechococcales,Deferribacterales,Saprospirales,Parachlamydiales,Flavobacteriales,Sphingobacteriales,Fusobacteriales,Actinomycetales,Rhodospirillales,Rhodobacterales,Sphingomonadales,Caulobacterales,Methylophilales,Neisseriales,Rhodocyclales,Mycoplasmatales,Desulfurellales,Desulfovibrionales,Desulfobacterales,Bdellovibrionales,Campylobacterales,Methanobacteriales,Fibrobacterales,Methanomicrobiales,Sulfolobales,Myxococcales,Anaerolineales,Nitrosomonadales,Rhizobiales,Ktedonobacterales,Puniceicoccales,Verrucomicrobiales,Chlamydiales,Erysipelotrichales,Kiloniellales,Actinopolysporales,Synergistales,Thermoanaerobacterales,Desulfuromonadales,Thiotrichales,Pseudomonadales,Rickettsiales,Cytophagales,Burkholderiales,Coriobacteriales,Sphaerobacterales,Bifidobacteriales,Micrococcales,Corynebacteriales,Propionibacteriales,Pseudonocardiales,Streptomycetales,Selenomonadales,Enterobacterales,Methanosarcinales
71401-0001,0.0,5.97458649886841e-07,0.0,0.0,0.0,0.0,0.0,0.00324718776213498,0.0,0.0,0.0,5.97458649886841e-07,0.0,0.0,0.0,0.0,3.58475189932105e-06,1.67288421968316e-05,0.000146377369222276,0.00556891207559525,1.37415489473974e-05,0.001589240008699,0.0,0.539025401551959,0.000403882047323505,0.00377175645673563,0.000415831220321242,0.0,0.0,0.359544640915402,0.00256309760801455,0.0,0.0,3.58475189932105e-06,0.0,0.0002497377156527,4.77966919909473e-06,2.38983459954737e-06,0.000182822346865373,5.2576361190042e-05,0.0,2.98729324943421e-06,0.0,0.0,3.58475189932105e-06,0.0,2.98729324943421e-06,1.19491729977368e-06,0.000423598182769771,0.0,0.0,9.73857599315551e-05,0.00623029880101998,0.000100970511830876,1.79237594966052e-06,0.0,0.0,0.0,0.0,1.79237594966052e-06,0.0,6.57204514875526e-06,0.0507104978264454,1.79237594966052e-06,0.0105792003135463,0.0,0.0,0.000229424121556547,1.19491729977368e-06,0.0,0.0,0.00392590078840643,0.0,1.79237594966052e-06,0.00538608972872987,0.00304703911442289,0.0,0.00181687175430588,9.0216256132913e-05,0.000105750181029971,7.76696244852894e-06,0.0,4.77966919909473e-06,5.07839852403815e-05,0.000320835294989234,3.94322708925315e-05
71401-0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48992204054091e-06,4.97984408108182e-06,0.0,8.29974013513637e-07,8.29974013513637e-07,0.0,8.29974013513637e-07,8.29974013513637e-06,0.000223263009635168,6.05881029864955e-05,0.0,0.000360208721864918,8.29974013513637e-07,0.156276636978496,0.00104908715308124,0.0103348364162718,0.0249083501195578,0.0,0.0,0.763469025784803,0.00499478361332507,0.0,0.0,1.65994802702727e-06,3.31989605405455e-06,0.000147735374405427,2.48992204054091e-06,4.14987006756818e-06,0.000305430436973018,3.31989605405455e-06,0.0,5.80981809459546e-06,0.0,0.0,0.0,2.48992204054091e-06,0.0,0.0,0.0013146788374056,0.0,0.0,0.000297130696837882,1.49395322432455e-05,0.000106236673729746,0.0,3.31989605405455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000156035114540564,0.0,0.0219943113581114,0.0,0.0,8.29974013513637e-06,8.29974013513637e-06,0.0,0.0,3.81788046216273e-05,0.0,0.0,0.00435653359693308,0.00595672349498737,0.0,0.00269575559589229,1.82594282973e-05,3.81788046216273e-05,1.49395322432455e-05,0.0,3.31989605405455e-06,5.31183368648728e-05,0.000749466534202814,0.0
71401-0003,0.0,4.138861564738e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37962052157933e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2416584694214e-05,1.2416584694214e-05,4.41478566905387e-05,0.000858123964422346,2.34535488668487e-05,0.000349043991959572,0.0,0.371297270972646,0.000949178918846582,0.00601928433565064,0.000321451581527985,0.0,2.75924104315867e-06,0.519370561933235,0.00190663556082264,0.0,0.0,0.0,4.138861564738e-05,0.000150378636852147,0.0,1.37962052157933e-06,0.00022901700658217,0.0036518555206205,0.0,1.37962052157933e-06,0.0,0.0,2.75924104315867e-06,0.0,7.86383697300221e-05,0.0,0.000307655376312192,0.0,0.0,0.000143480534244251,0.00499422628811719,4.138861564738e-05,0.0,4.69070977336974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0676869420297253,0.0,0.00788867014239063,0.0,0.0,8.82957133810774e-05,1.2416584694214e-05,0.0,4.138861564738e-06,0.00702916655744671,0.0,1.37962052157933e-06,0.00292755474679135,0.000641523542534391,0.0,0.000480107941509608,4.69070977336974e-05,4.138861564738e-05,4.27682361689594e-05,0.0,2.75924104315867e-06,1.37962052157933e-05,0.00222808714235062,1.37962052157933e-06
71401-0004,0.0,3.67690857293295e-06,0.0,0.0,0.0,0.0,0.0,1.47076342917318e-06,0.0,0.0,0.0,0.0,0.0,7.3538171458659e-07,0.0,0.0,3.67690857293295e-06,3.67690857293295e-06,8.9716569179564e-05,0.0200965114962223,7.3538171458659e-07,0.00112145711474455,0.0,0.516010730689979,0.000242675965813575,0.00803110370500015,0.000249294401244854,2.20614514375977e-06,0.0,0.39558315034585,0.00429095230461275,0.0,0.0,0.0,3.45629405855697e-05,0.000186051573790407,2.20614514375977e-06,3.67690857293295e-06,0.000221349896090564,1.39722525771452e-05,0.0,0.0,0.0,0.0,7.3538171458659e-06,0.0,0.000339746352139005,0.0,0.00077215080031592,0.0,0.0,1.76491611500782e-05,1.2501489147972e-05,7.20674080294859e-05,7.3538171458659e-07,3.67690857293295e-05,0.0,0.0,0.0,0.0,7.3538171458659e-07,0.0,0.0342496679751559,0.0,0.00501530329348055,0.0,0.0,3.75044674439161e-05,0.0,0.0,2.20614514375977e-06,0.00724865756068002,0.0,1.47076342917318e-06,0.00314007992128474,0.000972910008398059,0.0,0.000373573911009988,0.000923639433520758,0.000427992157889396,7.42735531732456e-05,0.0,2.20614514375977e-06,3.60337040147429e-05,4.04459943022625e-05,7.3538171458659e-07
71401-0005,0.0,4.05456471004186e-06,0.0,0.0,2.43273882602512e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43273882602512e-06,0.0,0.0,1.62182588401674e-06,1.86509976661926e-05,5.35202541725525e-05,0.000935793535077661,0.0,0.0100488331773677,0.0,0.481610927214076,0.00540960023613785,0.000194619106082009,0.00334744862461056,8.10912942008372e-07,8.92004236209209e-06,0.456263410472778,0.00382994182510554,0.0,0.0,4.05456471004186e-06,9.73095530410046e-05,0.000190564541371967,1.05418682461088e-05,2.75710400282846e-05,0.00254383389908026,1.05418682461088e-05,0.0,0.0,0.0,0.0,8.10912942008372e-06,0.0,0.0,0.0,9.73095530410046e-06,0.0,0.0,1.37855200141423e-05,0.00246517534370545,4.29783859264437e-05,0.0,0.000123258767185273,0.0,1.62182588401674e-06,0.0,1.62182588401674e-06,0.0,0.0,0.000778476424328037,8.10912942008372e-07,0.026536315114282,0.0,0.0,1.13527811881172e-05,0.0,0.0,2.43273882602512e-06,2.8381952970293e-05,0.0,0.0,7.54149036067786e-05,0.00385670195219182,0.0,0.000100553204809038,0.000206782800212135,0.000760636339603853,0.00028868500735498,8.10912942008372e-07,4.54111247524688e-05,8.92004236209209e-06,1.45964329561507e-05,0.0
71401-0008,0.0,5.71535693547133e-07,0.0,0.0,0.0,0.0,5.71535693547133e-07,0.0,0.0,0.0,1.14307138709427e-06,0.0,0.0,0.0,4.57228554837707e-06,0.0,2.11468206612439e-05,5.20097481127891e-05,5.94397121289019e-05,4.62943911773178e-05,1.20022495644898e-05,0.000398931914095899,0.0,0.30674377826244,0.000210896670918892,0.00940061908746325,0.000188606778870554,0.0,0.0,0.656308725292512,0.000750997901320933,0.0,0.0,0.0,5.71535693547133e-07,6.97273546127503e-05,0.0,0.0,6.62981404514675e-05,0.00344521716070212,0.0,5.71535693547133e-07,0.0,0.0,4.00074985482993e-06,0.0,1.14307138709427e-06,0.0,0.000284053239692925,0.0,0.0,7.37281044675802e-05,0.0023621570214303,3.20059988386395e-05,5.71535693547133e-07,0.0,0.0,1.14307138709427e-06,0.0,1.14307138709427e-06,0.0,0.0,0.000906455609965754,1.14307138709427e-06,0.0101156102400907,0.0,0.0,0.0003589244155476,1.37168566451312e-05,0.0,0.0,0.00042465102030552,0.0,5.71535693547133e-07,0.00603313078108354,0.0013956901636421,0.0,0.000142883923386783,9.14457109675414e-06,1.08591781773955e-05,5.1438212419242e-06,0.0,2.28614277418853e-06,1.14307138709427e-05,2.51475705160739e-05,5.71535693547133e-07
71401-0009,0.0,6.38497087313108e-06,0.0,4.56069348080792e-07,9.12138696161583e-07,0.0,4.56069348080792e-07,4.56069348080792e-07,0.0,0.0,3.19248543656554e-06,0.0,0.0,1.36820804424238e-06,9.12138696161583e-07,0.0,9.12138696161583e-07,7.29710956929267e-06,5.24479750292911e-05,0.000134084388335753,9.12138696161583e-07,0.00117392250195996,0.0,0.650591590354863,0.00177547797207852,0.000574647378581798,0.012210344656167,0.0,1.82427739232317e-06,0.277191196584588,0.00106720227450905,0.0,0.0,0.0,6.24815006870685e-05,0.00019565375032666,9.12138696161583e-07,9.25820776604007e-05,0.00031696819691615,0.0104781932721562,0.0,0.0,0.0,0.0,5.4728321769695e-06,0.0,0.0,0.0,9.12138696161583e-07,0.0,0.0,0.000146398260733934,0.0,4.10462413272713e-05,0.0,8.20924826545425e-05,0.0,0.0,0.0,1.36820804424238e-06,0.0,0.0,2.55398834925243e-05,0.0,0.00460584434626792,0.0,0.0,1.18578030501006e-05,2.14352593597972e-05,0.0,0.0,0.00450961371382287,0.0,9.12138696161583e-07,0.0124953879987175,0.00232869009130052,0.0,0.0191001842976236,2.09791900117164e-05,0.000482065300921397,7.34271650410075e-05,0.0,6.84104022121188e-06,4.10462413272713e-06,8.80213841795928e-05,5.01676282888871e-06
71401-0010,4.86241788591795e-06,3.2416119239453e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62080596197265e-06,1.62080596197265e-06,0.0,0.0,1.62080596197265e-06,0.0,0.0,4.86241788591795e-06,3.40369252014257e-05,9.23859398324411e-05,0.000157218178311347,0.0,0.0146310154187271,3.2416119239453e-06,0.293416124101871,0.000204221551208554,0.00805054321311816,0.000369543759329764,0.0,0.0,0.592981586023466,0.00262084324050978,0.0,0.0,6.4832238478906e-06,2.59328953915624e-05,0.000241500088333925,1.45872536577539e-05,9.7248357718359e-06,0.00043437599780867,0.0085043688824705,0.0,4.86241788591795e-06,0.0,0.0,3.2416119239453e-06,0.0,1.78288655816992e-05,0.0,1.94496715436718e-05,0.0,0.0,7.29362682887693e-05,8.10402980986325e-06,0.000150734954463457,0.0,2.43120894295898e-05,1.62080596197265e-06,0.0,9.7248357718359e-06,1.62080596197265e-06,0.0,0.0,4.86241788591795e-06,9.7248357718359e-06,0.0216458636221447,1.62080596197265e-06,0.0,1.45872536577539e-05,8.10402980986325e-06,0.0,0.0,0.0111154872872084,0.0,8.10402980986325e-06,0.00162080596197265,0.000179909461778964,0.0,0.0408767263609502,8.59027159845505e-05,3.07953132774804e-05,1.78288655816992e-05,0.0,8.10402980986325e-06,1.94496715436718e-05,0.00222050416790253,1.62080596197265e-06
71401-0011,0.0,6.54346261345897e-06,0.0,0.0,0.0,0.0,0.0,1.86956074670256e-06,0.0,0.0,9.34780373351281e-06,0.0,0.0,1.86956074670256e-06,0.0,0.0,0.0,0.000149564859736205,0.000176673490563392,0.00254914607812894,0.000421585948381428,0.002551950419249,0.0,0.356910363909999,0.00120867102274321,0.0296774072931565,0.000386064294194079,0.0,0.0,0.564104433663311,0.00916739112145601,0.0,0.0,7.47824298681025e-06,2.24347289604307e-05,0.000238368995204577,4.67390186675641e-06,9.34780373351281e-07,0.00119371453676959,2.61738504538359e-05,0.0,0.0,0.0,0.0,1.30869252269179e-05,0.0,0.000150499640109556,0.0,1.49564859736205e-05,0.0,0.0,2.80434112005384e-05,0.000104695401815343,5.60868224010769e-05,0.0,2.43042897071333e-05,0.0,1.86956074670256e-05,0.0,3.73912149340512e-06,0.0,9.34780373351281e-07,5.9825943894482e-05,9.34780373351281e-07,0.0142329659646466,0.0,0.0,0.00459818465651495,1.86956074670256e-06,0.0,5.60868224010769e-06,0.00031408620544603,0.0,1.86956074670256e-06,0.00417192480626677,0.00450283705843312,0.0,0.00107593220972732,8.50650139749666e-05,0.000551520420277256,4.58042382942128e-05,0.0,4.67390186675641e-06,5.23477009076717e-05,0.001059106163007,3.73912149340512e-06
71401-0013,3.16864645457508e-06,2.11243096971672e-06,5.28107742429179e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.50593936372523e-06,5.28107742429179e-07,4.75296968186261e-06,0.0,1.05621548485836e-06,2.6405387121459e-06,2.11243096971672e-06,2.11243096971672e-06,0.000147342060137741,0.000110374518167698,0.000641122799309024,0.0,0.00118348945078379,0.0,0.565732250430804,0.000137836120774016,0.000174803662744058,0.0194158811504088,5.28107742429179e-07,1.05621548485836e-06,0.364105995448767,0.00446779150095086,0.0,0.0,7.39350839400851e-06,3.16864645457508e-06,0.000409811608125043,1.26745858183003e-05,6.86540065157933e-06,0.000101396686546402,1.68994477577337e-05,2.11243096971672e-06,1.05621548485836e-06,0.0,0.0,4.75296968186261e-06,5.28107742429179e-06,2.11243096971672e-06,0.0,0.00272081108899513,0.0,0.0,5.33388819853471e-05,0.0043093591782221,8.08004845916645e-05,5.28107742429179e-07,6.33729290915015e-06,1.05621548485836e-06,1.05621548485836e-06,0.0,3.16864645457508e-06,0.0,0.0,0.00913520772853995,0.0,0.00822739051930419,0.0,0.0,0.000125161534955716,1.79556632425921e-05,5.28107742429179e-07,0.0,0.00273718242901044,0.0,1.58432322728754e-06,0.000899367485356893,0.002975359020846,0.0,0.00406114853928039,0.000665943863203195,2.16524174395964e-05,4.75296968186261e-06,0.0,1.05621548485836e-06,1.21464780758711e-05,0.00721500797706745,1.58432322728754e-06
