iMSMS_ID,Cyanobacteria,Proteobacteria,Firmicutes,Deinococcus-Thermus,Chloroflexi,Deferribacteres,Actinobacteria,Planctomycetes,Spirochaetes,Chlamydiae,Crenarchaeota,Euryarchaeota,Fusobacteria,Synergistetes,Tenericutes,Fibrobacteres,Verrucomicrobia,Candidatus Saccharibacteria,Bacteroidetes
71401-0001,0.0,0.020566373855888,0.385192725655899,0.0,0.0,0.0,0.00669749809131835,5.85036520904817e-07,0.000156789787602491,1.75510956271445e-06,0.0,0.00932021681453465,2.34014608361927e-06,0.00022465402402745,5.26532868814336e-06,0.000106476646804677,0.0496625801865681,1.17007304180963e-06,0.52806156924346
71401-0002,0.0,0.00672498219446441,0.828457440246596,0.0,0.0,0.0,0.00929671012917032,0.0,0.000221232751658423,4.93455951654476e-06,3.28970634436317e-06,1.48036785496343e-05,4.11213293045396e-06,8.22426586090793e-06,0.0,0.000108560309363985,0.000154616198185069,0.0,0.155001093827359
71401-0003,0.0,0.0159837067426239,0.554203245897458,0.0,0.0,0.0,0.00176032012583964,3.98563047359918e-06,6.50986310687867e-05,3.98563047359918e-05,4.51704787007907e-05,0.00481065598163421,1.32854349119973e-06,8.50267834367826e-05,7.97126094719837e-05,4.51704787007907e-05,0.0651810007652411,0.0,0.357695721027124
71401-0004,0.0,0.0104507067610106,0.474694627961659,0.0,6.8193845096317e-07,0.0,0.00381680951004086,3.40969225481585e-06,8.38784294684699e-05,3.27330456462322e-05,3.40969225481585e-05,1.43207074702266e-05,3.40969225481585e-06,3.47788609991217e-05,0.000317101379697874,7.02396604492065e-05,0.0317606014151587,1.36387690192634e-06,0.478681240145989
71401-0005,0.0,0.000190676100285933,0.498373193525738,3.23179830993107e-06,1.61589915496554e-06,0.0,0.0177821622508183,4.03974788741384e-06,5.33246721138627e-05,9.7761898875415e-05,0.000122808335777381,0.00245616671554762,2.74702856344141e-05,1.13112940847588e-05,9.69539492979322e-06,4.5245176339035e-05,0.000775631594383458,8.07949577482768e-07,0.480044857360542
71401-0008,0.0,0.0102199602528952,0.681876220984895,0.0,1.12598030660444e-06,0.0,0.00200030401468278,5.62990153302219e-07,7.03737691627773e-05,2.25196061320887e-06,0.0,0.00232796428390467,0.0,0.000353557816273793,1.12598030660444e-06,3.49053895047376e-05,0.000892902383137319,0.0,0.302218744194164
71401-0009,4.49019655386395e-07,0.0273646048582131,0.308386699319376,8.9803931077279e-07,4.49019655386395e-07,0.0,0.0231379828420609,6.28627517540953e-06,5.25352996802082e-05,6.15156927879361e-05,8.08235379695511e-05,5.38823586463674e-06,9.11509900434382e-05,1.16745110400463e-05,1.79607862154558e-06,4.40039262278667e-05,2.51451007016381e-05,0.0,0.640728597253616
71401-0010,4.70238599065166e-06,0.0232705408057382,0.637939790649776,0.0,0.0,0.0,0.0544050384498428,3.13492399376777e-06,8.93453338223815e-05,3.29167019345616e-05,2.35119299532583e-05,9.40477198130331e-06,9.40477198130331e-06,1.4107157971955e-05,1.72420819657227e-05,0.000163016047675924,4.70238599065166e-06,0.0,0.284013141601382
71401-0011,0.0,0.00540354634938463,0.647346768189951,0.0,1.7413942473041e-05,0.0,0.00931645922307696,6.09487986556436e-06,0.000556375462013661,2.17674280913013e-05,2.26381252149534e-05,0.000102742260590942,8.70697123652052e-07,0.00428295915124444,0.000148018511020849,5.92074044083395e-05,5.83367072846875e-05,1.7413942473041e-06,0.332655060274008
71401-0013,3.62669496179536e-06,0.0136664228146054,0.408530608269279,0.0,1.03619856051296e-06,0.0,0.00884032801901632,2.07239712102592e-06,0.000108282749573604,3.62669496179536e-06,6.21719136307776e-06,0.0042297625240139,6.73529064333424e-06,0.000122789529420786,3.10859568153888e-06,8.23777855607803e-05,0.00896208134987659,5.1809928025648e-07,0.55543040579608
