	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.6908431550317317	0.6473254759746147	0.6736174070716229	0.7271078875793291	0.31640979147778786	0.2964641885766092	0.45602901178603805	0.9900271985494107	0.9891205802357208	0.986400725294651	0.9746146872166818	0.9981867633726201	0.9800543970988214	0.9873073436083409	0.9945602901178604	1.0	0.9800543970988214	0.757026291931097	0.9873073436083409	0.9927470534904805	0.9900271985494107	0.9963735267452403	0.9945602901178604	1.0	1.0	1.0	0.99909338168631	0.99909338168631	0.99909338168631	0.9945602901178604
L1S140	0.6908431550317317	0.0	0.36083408884859475	0.43064369900271987	0.41160471441523117	0.7116953762466002	0.7280145058930191	0.6699909338168631	0.99909338168631	0.9972801450589301	0.9918404351767905	0.9909338168631007	0.9972801450589301	0.9737080689029919	0.9945602901178604	0.99909338168631	0.99909338168631	0.9927470534904805	0.25294650951949227	0.9945602901178604	0.9972801450589301	0.9927470534904805	1.0	0.9945602901178604	1.0	0.9981867633726201	1.0	0.9918404351767905	0.9972801450589301	1.0	0.9963735267452403
L1S208	0.6473254759746147	0.36083408884859475	0.0	0.28014505893019037	0.3100634632819583	0.7416137805983681	0.7334542157751587	0.8032638259292838	0.9981867633726201	0.9972801450589301	0.9909338168631007	0.9909338168631007	0.9963735267452403	0.9628286491387126	0.9936536718041704	0.9981867633726201	0.9981867633726201	0.9936536718041704	0.40253853127833183	0.9954669084315503	0.9981867633726201	0.9981867633726201	0.9972801450589301	0.9918404351767905	0.9972801450589301	0.9954669084315503	0.9972801450589301	0.9909338168631007	0.9945602901178604	0.9972801450589301	0.9936536718041704
L1S257	0.6736174070716229	0.43064369900271987	0.28014505893019037	0.0	0.3472348141432457	0.742520398912058	0.7479601087941976	0.8241160471441523	0.9981867633726201	0.9972801450589301	0.9909338168631007	0.9891205802357208	0.99909338168631	0.9682683590208522	0.9936536718041704	0.9981867633726201	0.9981867633726201	0.9936536718041704	0.4768812330009066	0.9954669084315503	0.9981867633726201	0.9981867633726201	1.0	0.9945602901178604	1.0	0.9981867633726201	1.0	0.9918404351767905	0.9972801450589301	1.0	0.9963735267452403
L1S281	0.7271078875793291	0.41160471441523117	0.3100634632819583	0.3472348141432457	0.0	0.7334542157751587	0.7361740707162284	0.8721668177697189	1.0	0.99909338168631	0.9927470534904805	0.986400725294651	0.99909338168631	0.9637352674524026	0.9954669084315503	1.0	1.0	0.9954669084315503	0.46781504986400724	0.9972801450589301	1.0	1.0	1.0	0.9945602901178604	1.0	0.9981867633726201	1.0	0.9918404351767905	0.9972801450589301	1.0	0.9963735267452403
L1S57	0.31640979147778786	0.7116953762466002	0.7416137805983681	0.742520398912058	0.7334542157751587	0.0	0.242973708068903	0.38077969174977333	0.9963735267452403	0.9954669084315503	0.9882139619220308	0.9818676337262012	0.99909338168631	0.9800543970988214	0.9882139619220308	1.0	1.0	0.9900271985494107	0.7470534904805077	0.9909338168631007	1.0	1.0	0.9963735267452403	0.9945602901178604	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S76	0.2964641885766092	0.7280145058930191	0.7334542157751587	0.7479601087941976	0.7361740707162284	0.242973708068903	0.0	0.3653671804170444	0.9963735267452403	0.9954669084315503	0.9882139619220308	0.9800543970988214	0.99909338168631	0.9809610154125114	0.9882139619220308	1.0	1.0	0.9900271985494107	0.7651858567543064	0.9909338168631007	1.0	1.0	0.9963735267452403	0.9945602901178604	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.45602901178603805	0.6699909338168631	0.8032638259292838	0.8241160471441523	0.8721668177697189	0.38077969174977333	0.3653671804170444	0.0	0.9936536718041704	0.9927470534904805	0.985494106980961	0.9882139619220308	0.9963735267452403	0.9891205802357208	0.985494106980961	0.9972801450589301	0.9972801450589301	0.9873073436083409	0.7325475974614687	0.9882139619220308	0.9972801450589301	0.99909338168631	0.9936536718041704	0.9918404351767905	0.9972801450589301	0.9972801450589301	0.9981867633726201	0.9972801450589301	0.9972801450589301	0.9972801450589301	0.9972801450589301
L2S155	0.9900271985494107	0.99909338168631	0.9981867633726201	0.9981867633726201	1.0	0.9963735267452403	0.9963735267452403	0.9936536718041704	0.0	0.5747960108794198	0.8268359020852222	0.8014505893019039	0.9057116953762466	0.6826835902085222	0.6464188576609248	0.7824116047144152	0.36627379873073435	0.5557570262919311	0.9981867633726201	0.6636446056210336	0.757026291931097	0.6745240253853128	0.8422484134179511	0.8966455122393472	0.9138712601994561	0.8513145965548504	0.9102447869446962	0.8966455122393472	0.9320036264732547	0.9029918404351768	0.8821396192203083
L2S175	0.9891205802357208	0.9972801450589301	0.9972801450589301	0.9972801450589301	0.99909338168631	0.9954669084315503	0.9954669084315503	0.9927470534904805	0.5747960108794198	0.0	0.8096101541251133	0.771532184950136	0.8631006346328196	0.5376246600181324	0.5349048050770625	0.7216681776971895	0.6618313689936537	0.3055303717135086	0.9981867633726201	0.5176790571169537	0.6137805983680871	0.6681776971894833	0.8223028105167725	0.8513145965548504	0.8721668177697189	0.7960108794197642	0.8776065276518585	0.8495013599274706	0.9084315503173164	0.8694469628286491	0.843155031731641
