	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.4795185029506683	0.535115659236908	0.5302607417106628	0.5119205713272095	0.3845083713531494	0.388003408908844	0.5361647605895996	0.8539172410964966	0.8132603168487549	0.8188011646270752	0.8642945289611816	0.766004204750061	0.782206118106842	0.8077471256256104	0.826339066028595	0.8421472311019897	0.7256861925125122	0.5331854224205017	0.83339923620224	0.8178068995475769	0.8371257185935974	0.7499163746833801	0.7084968090057373	0.7592619061470032	0.7271271944046021	0.7480000853538513	0.7219341397285461	0.7617722749710083	0.7537314295768738	0.7468210458755493
L1S140	0.4795185029506683	0	0.5110230445861816	0.5144827961921692	0.5215734243392944	0.4786919951438904	0.4311172962188721	0.5041853785514832	0.85676109790802	0.7956946492195129	0.8353092074394226	0.8789620995521545	0.717725932598114	0.788185179233551	0.7933553457260132	0.8125375509262085	0.8133360147476196	0.7125759720802307	0.2803677320480347	0.8389226198196411	0.8062297105789185	0.846917986869812	0.7352176904678345	0.6930270791053772	0.7135385274887085	0.7174620032310486	0.7022576332092285	0.6674777865409851	0.7326311469078064	0.7165629863739014	0.7425599098205566
L1S208	0.535115659236908	0.5110230445861816	0	0.348542332649231	0.2748507857322693	0.4399081170558929	0.4438586533069611	0.5409880876541138	0.8647716641426086	0.8380687236785889	0.8465303778648376	0.883540153503418	0.78093022108078	0.8302736282348633	0.7942481637001038	0.8593145608901978	0.857638955116272	0.7803553342819214	0.504509449005127	0.8555366992950439	0.8626963496208191	0.8810230493545532	0.7911664247512817	0.7524817585945129	0.7960357069969177	0.7535468339920044	0.789386510848999	0.7461351156234741	0.7872272133827209	0.771959662437439	0.7685574293136597
L1S257	0.5302607417106628	0.5144827961921692	0.348542332649231	0	0.3059214055538177	0.4608359038829803	0.3656035959720612	0.5168220996856689	0.8687233328819275	0.8514524102210999	0.8428372740745544	0.8820270895957947	0.8172653317451477	0.820412278175354	0.81106036901474	0.8585606813430786	0.8742321729660034	0.7967661619186401	0.5459312796592712	0.8533507585525513	0.857623815536499	0.8789128065109253	0.8338338732719421	0.8054181933403015	0.8023668527603149	0.8130061030387878	0.7929124236106873	0.7873784303665161	0.8055896162986755	0.7962043881416321	0.8138636350631714
L1S281	0.5119205713272095	0.5215734243392944	0.2748507857322693	0.3059214055538177	0	0.4575348198413849	0.4202076196670532	0.6029177308082581	0.884308397769928	0.8639105558395386	0.8653186559677124	0.8964658379554749	0.8225978016853333	0.8454532027244568	0.8273383975028992	0.8794690370559692	0.8865090012550354	0.8170655369758606	0.5379963517189026	0.8777087330818176	0.8844472765922546	0.8998011350631714	0.8258653879165649	0.7938740849494934	0.8321660161018372	0.7884549498558044	0.822368323802948	0.78812575340271	0.8148888349533081	0.807428240776062	0.8029510974884033
L1S57	0.3845083713531494	0.4786919951438904	0.4399081170558929	0.4608359038829803	0.4575348198413849	0	0.2664600610733032	0.4257170855998993	0.888374388217926	0.8661779165267944	0.860048234462738	0.8944880366325378	0.818528413772583	0.8337618112564087	0.7994770407676697	0.8774381875991821	0.879086971282959	0.8066867589950562	0.5504496693611145	0.8727496862411499	0.8746288418769836	0.8872087597846985	0.8087247610092163	0.7715024352073669	0.820371687412262	0.7843581438064575	0.8094636201858521	0.7838670611381531	0.8124145865440369	0.8089232444763184	0.8041112422943115
L1S76	0.388003408908844	0.4311172962188721	0.4438586533069611	0.3656035959720612	0.4202076196670532	0.2664600610733032	0	0.3871186673641205	0.8819664716720581	0.8566984534263611	0.8523129224777222	0.8847754597663879	0.8101364374160767	0.824251651763916	0.8041667938232422	0.8693416118621826	0.8753886818885803	0.7919245362281799	0.4592162072658539	0.8650677800178528	0.8661059737205505	0.884392261505127	0.82575523853302	0.7961875200271606	0.8105537295341492	0.8059678673744202	0.7997481822967529	0.7712058424949646	0.8110779523849487	0.797433078289032	0.8228915333747864
L1S8	0.5361647605895996	0.5041853785514832	0.5409880876541138	0.5168220996856689	0.6029177308082581	0.4257170855998993	0.3871186673641205	0	0.8689182996749878	0.8327496647834778	0.8539867401123047	0.8950977921485901	0.7712199687957764	0.8012247085571289	0.76967453956604	0.8565170168876648	0.8491670489311218	0.7617336511611938	0.4475064277648926	0.8497578501701355	0.8534079790115356	0.8642833828926086	0.7829005718231201	0.7418327927589417	0.7645500302314758	0.7689398527145386	0.7514696717262268	0.7149821519851685	0.7781786918640137	0.7558020949363708	0.7832350134849548
L2S155	0.8539172410964966	0.85676109790802	0.8647716641426086	0.8687233328819275	0.884308397769928	0.888374388217926	0.8819664716720581	0.8689182996749878	0	0.4303663969039917	0.4138861298561096	0.5829522013664246	0.7010806798934937	0.4200792908668518	0.5901600122451782	0.6801717281341553	0.4772374033927917	0.6110634803771973	0.8495131134986877	0.4791579246520996	0.6539986133575439	0.466815322637558	0.7164122462272644	0.7867504358291626	0.7924667000770569	0.7471057772636414	0.7651823759078979	0.7563384175300598	0.7449700236320496	0.750053346157074	0.7700520753860474
L2S175	0.8132603168487549	0.7956946492195129	0.8380687236785889	0.8514524102210999	0.8639105558395386	0.8661779165267944	0.8566984534263611	0.8327496647834778	0.4303663969039917	0	0.4930778443813324	0.5979155302047729	0.5842767953872681	0.4488053321838379	0.5782662630081177	0.5682868957519531	0.4777225852012634	0.5104691386222839	0.8020713329315186	0.4572224020957947	0.5803394317626953	0.5048977136611938	0.6770500540733337	0.7089213132858276	0.7093243598937988	0.6478893756866455	0.6826555728912354	0.6585947275161743	0.6735228896141052	0.6422498226165771	0.658375084400177
