	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1063800975680351	0.1147465780377388	0.1288060396909714	0.1256376802921295	0.09900631010532379	0.06531357765197754	0.1618523597717285	0.8047213554382324	0.7799353003501892	0.6746987104415894	0.7004730701446533	0.6994983553886414	0.7549884915351868	0.7677720785140991	0.7076243162155151	0.8069724440574646	0.7834896445274353	0.1077261716127396	0.7533347010612488	0.6966959238052368	0.7842639684677124	0.7465991377830505	0.7132225632667542	0.6156553030014038	0.7151219248771667	0.6767555475234985	0.7007901668548584	0.6813091635704041	0.6981031894683838	0.5790021419525146
L1S140	0.1063800975680351	0	0.1123608350753784	0.1264114230871201	0.1576050519943237	0.1449988484382629	0.09258540719747543	0.1274611800909042	0.8408887386322021	0.8221362829208374	0.7134672999382019	0.7394115328788757	0.7408931851387024	0.7957659959793091	0.8017297983169556	0.7470110058784485	0.8388410806655884	0.826482892036438	0.04587193205952644	0.7891625761985779	0.7388877272605896	0.8256435394287109	0.7878405451774597	0.7542141079902649	0.6558631658554077	0.7556524276733398	0.7185168266296387	0.7419655323028564	0.723181426525116	0.7392147779464722	0.6219962239265442
L1S208	0.1147465780377388	0.1123608350753784	0	0.04450368881225586	0.1033601611852646	0.1356209814548492	0.08838574588298798	0.176861584186554	0.8393621444702148	0.821729302406311	0.7107348442077637	0.7372831702232361	0.7392082214355469	0.7948774099349976	0.7972576022148132	0.7468246221542358	0.8370672464370728	0.8263017535209656	0.1081594526767731	0.7883924245834351	0.7398443222045898	0.826225757598877	0.7872235774993896	0.7517669200897217	0.6542670130729675	0.7533137202262878	0.7172118425369263	0.740165114402771	0.7211564779281616	0.737046480178833	0.6190824508666992
L1S257	0.1288060396909714	0.1264114230871201	0.04450368881225586	0	0.1057898476719856	0.1392335444688797	0.1033312976360321	0.1852293759584427	0.8304087519645691	0.8145434260368347	0.7022296190261841	0.7281104326248169	0.7317426204681396	0.7855669856071472	0.789264440536499	0.7373493909835815	0.8280904293060303	0.8189166784286499	0.1211882308125496	0.7798556089401245	0.7292904853820801	0.8168997168540955	0.780600905418396	0.7454516887664795	0.6472798585891724	0.7472124099731445	0.7096815705299377	0.733811616897583	0.7138634920120239	0.7308148145675659	0.6127629280090332
L1S281	0.1256376802921295	0.1576050519943237	0.1033601611852646	0.1057898476719856	0	0.1082524061203003	0.1311827301979065	0.236605629324913	0.7871620655059814	0.7703468203544617	0.6597533822059631	0.6853711605072021	0.6870517730712891	0.7429329752922058	0.7451045513153076	0.6948724985122681	0.7849206328392029	0.7747951149940491	0.1514421403408051	0.7364978790283203	0.6871192455291748	0.774557888507843	0.7348616123199463	0.6997556090354919	0.6022390127182007	0.7011261582374573	0.6651647686958313	0.6882041692733765	0.6683114767074585	0.685430109500885	0.5672436356544495
L1S57	0.09900631010532379	0.1449988484382629	0.1356209814548492	0.1392335444688797	0.1082524061203003	0	0.09444038569927216	0.157625749707222	0.7682674527168274	0.7525655031204224	0.6402878165245056	0.6666759252548218	0.6729354858398438	0.7229722738265991	0.7263540625572205	0.6760748028755188	0.7654698491096497	0.7567018866539001	0.1524641066789627	0.7177579402923584	0.668913722038269	0.7545296549797058	0.7201759815216064	0.6871177554130554	0.5893540978431702	0.6875684261322021	0.6520462036132812	0.674394428730011	0.6552216410636902	0.6718364953994751	0.5545366406440735
L1S76	0.06531357765197754	0.09258540719747543	0.08838574588298798	0.1033312976360321	0.1311827301979065	0.09444038569927216	0	0.1340785175561905	0.8109844326972961	0.7944536209106445	0.6820886731147766	0.708765983581543	0.711330771446228	0.7656610608100891	0.768828272819519	0.7194581031799316	0.8085802793502808	0.798483669757843	0.09641541540622711	0.7596615552902222	0.7100456953048706	0.797264039516449	0.7601524591445923	0.7252908945083618	0.626844584941864	0.7269875407218933	0.689551830291748	0.7135235071182251	0.6933661699295044	0.7101016640663147	0.5928080677986145
L1S8	0.1618523597717285	0.1274611800909042	0.176861584186554	0.1852293759584427	0.236605629324913	0.157625749707222	0.1340785175561905	0	0.8018370270729065	0.7875354886054993	0.6736206412315369	0.6963910460472107	0.7106184363365173	0.7555503249168396	0.7613915801048279	0.7127993702888489	0.8030012845993042	0.7934600114822388	0.1553751975297928	0.7514294981956482	0.7048842906951904	0.7779943943023682	0.7590611577033997	0.725775420665741	0.6240241527557373	0.7270293831825256	0.6884336471557617	0.7131657600402832	0.6932123303413391	0.7090082168579102	0.5936527848243713
L2S155	0.8047213554382324	0.8408887386322021	0.8393621444702148	0.8304087519645691	0.7871620655059814	0.7682674527168274	0.8109844326972961	0.8018370270729065	0	0.2142163515090942	0.3319231867790222	0.3639717102050781	0.396865576505661	0.2564512491226196	0.2096388190984726	0.4022142291069031	0.1375878006219864	0.208426833152771	0.8444551825523376	0.2386436760425568	0.3342490792274475	0.2273822724819183	0.4266748428344727	0.4311790764331818	0.6638318300247192	0.4235803186893463	0.4865977764129639	0.4106575846672058	0.4269299805164337	0.4016766250133514	0.6419159173965454
L2S175	0.7799353003501892	0.8221362829208374	0.821729302406311	0.8145434260368347	0.7703468203544617	0.7525655031204224	0.7944536209106445	0.7875354886054993	0.2142163515090942	0	0.4106665551662445	0.4226366877555847	0.3793358504772186	0.204052209854126	0.1967526376247406	0.34769406914711	0.2354990541934967	0.08673748373985291	0.8264151811599731	0.2005492448806763	0.2486622035503387	0.2590944766998291	0.3801048994064331	0.3588501513004303	0.6216466426849365	0.3493016064167023	0.4587421417236328	0.3834282159805298	0.4149035811424255	0.388338565826416	0.6242086887359619
L2S204	0.6746987104415894	0.7134672999382019	0.7107348442077637	0.7022296190261841	0.6597533822059631	0.6402878165245056	0.6820886731147766	0.6736206412315369	0.3319231867790222	0.4106665551662445	0	0.1935419887304306	0.3337091505527496	0.3262391090393066	0.3437354266643524	0.4014681279659271	0.3444676995277405	0.4362322092056274	0.717313289642334	0.3329912126064301	0.3258461356163025	0.3453079164028168	0.4062249660491943	0.3577424287796021	0.5963473916053772	0.3746223747730255	0.4233802556991577	0.3433244526386261	0.3175633251667023	0.3380447626113892	0.5607790350914001
L2S222	0.7004730701446533	0.7394115328788757	0.7372831702232361	0.7281104326248169	0.6853711605072021	0.6666759252548218	0.708765983581543	0.6963910460472107	0.3639717102050781	0.4226366877555847	0.1935419887304306	0	0.3387613892555237	0.3315401673316956	0.3629785776138306	0.378919780254364	0.3641608953475952	0.454436719417572	0.743043065071106	0.3465472459793091	0.3116637766361237	0.3342784345149994	0.3828240931034088	0.3680696785449982	0.5768077969551086	0.3660846948623657	0.4007338583469391	0.3451188504695892	0.3486708700656891	0.3391067981719971	0.5528076887130737
L2S240	0.6994983553886414	0.7408931851387024	0.7392082214355469	0.7317426204681396	0.6870517730712891	0.6729354858398438	0.711330771446228	0.7106184363365173	0.396865576505661	0.3793358504772186	0.3337091505527496	0.3387613892555237	0	0.3752092719078064	0.3517735004425049	0.3010222017765045	0.4312522113323212	0.4088743627071381	0.743779718875885	0.3426995873451233	0.2530691027641296	0.4065913259983063	0.2258142679929733	0.09787209331989288	0.4209451973438263	0.1136324182152748	0.2012655436992645	0.0525759644806385	0.105248861014843	0.04096288606524467	0.3857352733612061
L2S309	0.7549884915351868	0.7957659959793091	0.7948774099349976	0.7855669856071472	0.7429329752922058	0.7229722738265991	0.7656610608100891	0.7555503249168396	0.2564512491226196	0.204052209854126	0.3262391090393066	0.3315401673316956	0.3752092719078064	0	0.1272871196269989	0.3330747187137604	0.3032931685447693	0.1934529393911362	0.7991738319396973	0.1102135330438614	0.2408206164836884	0.1531302779912949	0.3554589748382568	0.3624445199966431	0.615974485874176	0.3556874692440033	0.4536984860897064	0.3782848715782166	0.4109598696231842	0.3848456144332886	0.6194322109222412
L2S357	0.7677720785140991	0.8017297983169556	0.7972576022148132	0.789264440536499	0.7451045513153076	0.7263540625572205	0.768828272819519	0.7613915801048279	0.2096388190984726	0.1967526376247406	0.3437354266643524	0.3629785776138306	0.3517735004425049	0.1272871196269989	0	0.335487961769104	0.2522308528423309	0.1520707011222839	0.8047983646392822	0.07434190809726715	0.2152806222438812	0.1973959505558014	0.3320198655128479	0.3290495872497559	0.6007596254348755	0.323946624994278	0.4295219480991364	0.3512628972530365	0.384856641292572	0.3606536984443665	0.5972453355789185
L2S382	0.7076243162155151	0.7470110058784485	0.7468246221542358	0.7373493909835815	0.6948724985122681	0.6760748028755188	0.7194581031799316	0.7127993702888489	0.4022142291069031	0.34769406914711	0.4014681279659271	0.378919780254364	0.3010222017765045	0.3330747187137604	0.335487961769104	0	0.4611960351467133	0.380288302898407	0.7508482933044434	0.3324421644210815	0.2032546401023865	0.3731920421123505	0.2805129289627075	0.3298201560974121	0.422053188085556	0.2637796103954315	0.247832179069519	0.3136165738105774	0.3506233990192413	0.3098598718643188	0.4130759239196777
