#SampleID	SampleID2
#q2:types	categorical
CD010-01	CD010-01
CD014-01	CD014-01
CD014-02	CD014-02
CD014-03	CD014-03
CD014-04	CD014-04
CD014-05	CD014-05
CD014-06	CD014-06
CD014-07	CD014-07
CES014	CFS014
CFS016	CFS016
CFS017	CFS017
CFS018	CFS018
CFS019	CFS019
CFS022	CFS022
CFS023	CFS023
HC001	HC001
HC002	HC002
HC003	HC003
HC004	HC004
HC005	HC005
HC006	HC006
HC007	HC007
HC008	HC008
HC009	HC009
HC010	HC010
HC011	HC011
HC012	HC012
HC013	HC013
HC014	HC014
HC015	HC015
HC016	HC016
HC017	HC017
HC018	HC018
HC019	HC019
HC020	HC020
HC021B	HC021B
HC022A	HC022A
