SampleID	SampleID2
#q2:types	categorical
CD001-001	CD001-01
CD001-002	CD001-02
CD001-003	CD001-03
CD001-004	CD001-04
CD001-005	CD001-05
CD001-006	CD001-06
CD001-007	CD001-07
CD002-001	CD002-01
CD002-003	CD002-03
CD002-004	CD002-04
CD002-005	CD002-05
CD002-006	CD002-06
CD002-007	CD002-07
CD003-001	CD003-01
CD003-002	CD003-02
CD003-003	CD003-03
CD003-004	CD003-04
CD003-005	CD003-05
CD003-006	CD003-06
CD003-007	CD003-07
CD006-001	CD006-01
CD006-002	CD006-02
CD006-003	CD006-03
CD006-004	CD006-04
CD006-005	CD006-05
CD006-006	CD006-06
CD006-007	CD006-07
CFS015	CFS015
